Method,Variant,Precision,PPL (↓),ARC-C (%↑),GSM8K (%↑),Size (GB),VRAM (GB)
AWQ (W4A16),Attn-Only,W4A16,12.5454,64.0000,55.0000,2.7900,5.7119
AWQ (W4A16),Full,W4A16,13.0170,62.6000,60.0000,1.3200,6.3772
AWQ (W4A16),MLP-Only,W4A16,12.6819,63.4000,60.0000,1.1200,6.2781
Baseline (FP16),Full,FP16,12.3364,65.8000,55.0000,2.8800,5.5908
GPTQ (W4),Attn-Only,W4,,64.8000,,2.6636,11.1823
GPTQ (W4),Full,W4,8.8948,61.8000,,1.0709,6.7565
GPTQ (W4),MLP-Only,W4,8.5767,64.8000,,1.2827,5.7051
RTN (W8A16),Attn-Only,W8A16,9.8206,65.0000,60.0000,2.7857,2.7857
RTN (W8A16),Full,W8A16,9.8576,65.4000,59.0000,1.7210,1.7210
RTN (W8A16),MLP-Only,W8A16,9.8547,66.4000,58.0000,1.8192,1.8192
SmoothQuant (W8A8),Attn-Only,W8A8,8.3949,65.6000,,,2.7723
SmoothQuant (W8A8),Full,W8A8,8.4559,64.6000,,,1.8079
SmoothQuant (W8A8),MLP-Only,W8A8,8.4558,64.0000,,,1.9495
