Method,Scope,Precision,PPL↓,ARC%↑,GSM8K%↑,Size(GB),VRAM(GB),Throughput,Latency(ms)
Baseline (FP16),Full,FP16,9.8207,65.8000,58.0000,2.8800,5.8126,27.1518,36.8309
RTN (W8A16),Attn-Only,W8A16,9.8206,65.0000,60.0000,2.7857,2.7857,19.7444,50.6472
RTN (W8A16),Full,W8A16,9.8576,65.4000,59.0000,1.7210,1.7210,13.1604,75.9857
RTN (W8A16),MLP-Only,W8A16,9.8547,66.4000,58.0000,1.8192,1.8192,23.2306,43.0467
AWQ (W4A16),Attn-Only,W4A16,9.9959,63.8000,52.0000,2.7900,5.9133,11.5036,86.9297
AWQ (W4A16),Full,W4A16,10.4488,63.0000,52.0000,1.3200,6.5768,7.6467,130.7873
AWQ (W4A16),MLP-Only,W4A16,10.1955,63.4000,54.0000,1.1200,6.4889,12.2845,81.4039
GPTQ (W4),Full,W4,8.8948,61.8000,,1.0709,6.7565,13.4100,74.5600
GPTQ (W4),Attn-Only,W4,,64.8000,,2.6636,11.1823,16.6800,59.9500
GPTQ (W4),MLP-Only,W4,8.5767,64.8000,,1.2827,5.7051,19.0400,52.5100
SmoothQuant (W8A8),Full,W8A8,8.4559,64.6000,,1.6736,1.8079,9.7100,102.9600
SmoothQuant (W8A8),Attn-Only,W8A8,8.3949,65.6000,,2.7476,2.7723,13.9700,71.5800
SmoothQuant (W8A8),MLP-Only,W8A8,8.4558,64.0000,,1.8164,1.9495,11.2300,89.0200
